name,address,description,tags,google_maps_url,website,source_query
Meyhuone,"Kruunuvuorenkatu 4, 00160 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=13771831000440111584,https://www.meyhuone.com/,new restaurant Helsinki
Tawook Lab,"Citykäytävä, Aleksanterinkatu 21, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=8138888142032326134,,newly opened restaurant Helsinki
Seoul Good Kluuvi,"Kauppakeskus Kluuvi, Aleksanterinkatu 9 1.krs, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=5713968595801345058,https://www.seoulgood.fi/,newly opened restaurant Helsinki
Ravintola Jason,"Yrjönkatu 5 E, 00120 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=7737914126639786623,https://www.ravintolajason.fi/,newly opened restaurant Helsinki
Ravintola Nokka,"Kanavaranta 7 F, 00160 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=5976738196805165675,https://www.nokkahelsinki.fi/,newly opened restaurant Helsinki
The Last Drop Bar & Kitchen,"Ludviginkatu 3-5, 00130 Helsinki, Finland","Venue types: bar, establishment, food, point of interest, restaurant.",bar|establishment|food|point of interest|restaurant,https://maps.google.com/?cid=11192229972345631718,http://www.lastdropbar.fi/,newly opened restaurant Helsinki
Ravintola 14 Peaks,"Siltasaarenkatu 13, 00530 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=8677965900861453582,http://ravintola14peaks.fi/,newly opened restaurant Helsinki
Street Canteen,"Mannerheimintie 3, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=3169829926643589521,http://www.streetcanteen.fi/,newly opened restaurant Helsinki
Lappi Ravintola,"Annankatu 22, 00100 Helsinki, Finland",Cozy wood-paneled restaurant specialized in hearty Lappish reindeer & seafood dishes.,establishment|food|point of interest|restaurant,https://maps.google.com/?cid=2110649647777942279,http://www.lappires.com/,newly opened restaurant Helsinki
Ravintola Vietologie,"Runeberginkatu 59, 00260 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=18168492034779955859,http://www.vietologie.com/,newly opened restaurant Helsinki
Rioni,"Kasarmikatu 25, 00130 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=7448665967355946308,http://www.rioni.fi/,newly opened restaurant Helsinki
16 Boom,"Snellmaninkatu 16, 00170 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=6601054165864227361,https://social.quandoo.com/en/groups/16-boom-92322,newly opened restaurant Helsinki
Jump Chick,"Töölöntullinkatu 6, 00250 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=15814535698843091235,,newly opened restaurant Helsinki
Ravintola Ragu,"Ludviginkatu 3-5, 00130 Helsinki, Finland","Sophisticated restaurant serving creative, seasonal menus & wine pairings in a light-filled space.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=15410975898742168344,http://www.ragu.fi/,newly opened restaurant Helsinki
Restaurant VERSION,"Unioninkatu 14, 00130 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=17653808496555921617,https://version.fi/,grand opening restaurant Helsinki
Loi Loi Rooftop,"Konepajankuja 5 6th Floor, 00510 Helsinki, Finland","Venue types: bar, establishment, food, point of interest, restaurant.",bar|establishment|food|point of interest|restaurant,https://maps.google.com/?cid=10495370365859413874,http://www.loiloirooftop.com/,grand opening restaurant Helsinki
Restaurant Gaijin,"Bulevardi 6, 00120 Helsinki, Finland","Lively, modern eatery for Asian-fusion cooking from sushi to pork buns, plus elevated cocktails.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=13636973464646753575,http://www.gaijin.fi/,grand opening restaurant Helsinki
Paulette,"Kapteeninkatu 24, 00140 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=12503019929424650101,http://www.paulettehelsinki.fi/,grand opening restaurant Helsinki
Restaurant Grand Bar & Grill,"Korkeavuorenkatu 21, 00130 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=7137313149169502984,http://www.thegrand.fi/,grand opening restaurant Helsinki
Bouchon Carême,"Aleksanterinkatu 13, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=831719679467675268,https://bouchoncareme.fi/,grand opening restaurant Helsinki
Restaurant Karaz,"Lönnrotinkatu 15, 00100 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=12460600957774773986,https://www.karaz.fi/,grand opening restaurant Helsinki
Restaurant Grön,"Albertinkatu 36, 00180 Helsinki, Finland",Cozy restaurant offering a menu of creative & seasonal contemporary Scandinavian cuisine.,establishment|food|point of interest|restaurant,https://maps.google.com/?cid=5977349206221779614,http://www.restaurantgron.com/,grand opening restaurant Helsinki
Restaurant Elm,"Puistokatu 4, 00140 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=378338544680650181,https://www.restaurantelm.fi/,grand opening restaurant Helsinki
Restaurant Passio,"Kalevankatu 13, 00100 Helsinki, Finland",Innovative restaurant serving tasting menus & wine pairings amid retro-chic surroundings.,establishment|food|point of interest|restaurant,https://maps.google.com/?cid=16922693247156257618,http://www.passiodining.fi/,grand opening restaurant Helsinki
Restaurant Shelter,"Kanavaranta 7, 00160 Helsinki, Finland","Venue types: establishment, food, point of interest, restaurant.",establishment|food|point of interest|restaurant,https://maps.google.com/?cid=5511036524468553186,http://www.shelter.fi/,grand opening restaurant Helsinki
Café Noir,"Pohjoisesplanadi 35, 00100 Helsinki, Finland","Venue types: cafe, establishment, food, point of interest, store.",cafe|establishment|food|point of interest|store,https://maps.google.com/?cid=7298691835943680075,https://www.instagram.com/cafenoir.hki/,new café Helsinki
